Brand,Year,Model,UsedOrNew,Transmission,EngineDisplacement(L),DriveType,FuelType,FuelConsumption(L)/100km,Kilometers,CylindersinEngine,BodyType,State
Land,2018,Rover,USED,Automatic,2.0,AWD,Diesel,5.3,63725,4,SUV,WA
Toyota,2014,Hilux,USED,Automatic,2.7,Rear,Unleaded,11.6,44358,4,Ute / Tray,NSW
Holden,2016,Commodore,USED,Automatic,3.6,Rear,Unleaded,9.5,172843,6,Sedan,NSW
Kia,2015,Sportage,USED,Automatic,2.0,AWD,Diesel,7.2,40029,4,SUV,NSW
Holden,2014,Commodore,USED,Automatic,3.6,Rear,Unleaded,9.8,286185,6,Wagon,NSW
Kia,2020,Cerato,USED,Automatic,2.0,Front,Unleaded,7.4,54177,4,Sedan,NSW
Ford,2014,Focus,USED,Manual,2.0,Front,Unleaded,7.2,132965,4,Hatchback,NSW
Toyota,2018,Hilux,USED,Automatic,2.8,4WD,Diesel,8.5,140937,4,Ute / Tray,WA
Hyundai,2012,Santa,USED,Automatic,2.2,AWD,Diesel,7.3,149662,4,SUV,NSW
Kia,2018,Cerato,USED,Automatic,2.0,Front,Unleaded,7.2,65374,4,Hatchback,NSW
Kia,2013,Sorento,USED,Automatic,2.2,AWD,Diesel,7.3,195013,4,SUV,NSW
Ford,2011,Falcon,USED,Automatic,4.0,Rear,Unleaded,9.9,303453,6,Sedan,WA
Hyundai,2019,Sonata,USED,Automatic,2.4,Front,Unleaded,8.3,94828,4,Sedan,NSW
Subaru,2018,Impreza,USED,Automatic,2.0,AWD,Unleaded,6.6,72584,4,Hatchback,NSW
Skoda,2022,Octavia,DEMO,Automatic,2.0,Front,Premium,6.3,1500,4,Wagon,NSW
Toyota,2023,Hilux,USED,Automatic,2.8,4WD,Diesel,8.0,50,4,Ute / Tray,WA
Volkswagen,2015,Golf,USED,Automatic,2.0,Front,Diesel,4.7,141648,4,Wagon,NSW
Audi,2008,Q7,USED,Automatic,3.0,AWD,Diesel,10.5,183862,6,SUV,NSW
Hyundai,2016,I30,USED,Automatic,1.8,Front,Unleaded,7.3,86339,4,Hatchback,WA
Hyundai,2009,I30,USED,Automatic,2.0,Front,Unleaded,7.6,174945,4,Hatchback,NSW
Mazda,2015,3,USED,Automatic,2.0,Front,Unleaded,5.7,56608,4,Sedan,NSW
Toyota,2010,Kluger,USED,Automatic,3.5,Front,Unleaded,11.6,168814,6,SUV,NSW
Toyota,2021,Landcruiser,USED,Automatic,2.8,4WD,Diesel,7.9,48479,4,SUV,NSW
Hyundai,2015,Iload,USED,Automatic,2.5,Rear,Diesel,8.8,242132,4,Commercial,NSW
Nissan,2023,Qashqai,USED,Automatic,1.3,Front,Premium,6.1,7014,4,SUV,WA
BMW,2010,X1,USED,Automatic,2.0,AWD,Diesel,6.2,181866,4,SUV,NSW
Nissan,2010,Navara,USED,Manual,2.5,4WD,Diesel,9.2,180805,4,Ute / Tray,NSW
Audi,2020,Q3,USED,Automatic,2.0,AWD,Premium,8.3,34996,4,SUV,NSW
Mitsubishi,2023,Outlander,USED,Automatic,2.5,AWD,Unleaded,8.1,1000,4,SUV,WA
Mercedes-Benz,2006,ML350,USED,Automatic,3.5,4WD,Premium,11.7,240953,6,SUV,NSW
Hyundai,2019,I30,USED,Automatic,2.0,Front,Unleaded,7.4,59734,4,Hatchback,NSW
Nissan,2018,X-Trail,USED,Automatic,2.5,4WD,Unleaded,8.3,129596,4,SUV,NSW
Mercedes-Benz,2017,CLS250,USED,Automatic,2.1,Rear,Diesel,5.4,61435,4,Sedan,WA
Land,2016,Rover,USED,Automatic,2.2,AWD,Diesel,6.0,90877,4,SUV,NSW
Hyundai,2019,I30,USED,Automatic,2.0,Front,Unleaded,7.4,56829,4,Hatchback,NSW
Toyota,2015,Landcruiser,USED,Automatic,4.5,4WD,Diesel,10.3,111568,8,SUV,NSW
Kia,2018,Cerato,USED,Automatic,2.0,Front,Unleaded,7.4,74263,4,Hatchback,NSW
Subaru,2015,Impreza,USED,Manual,2.0,AWD,Unleaded,7.1,126354,4,Sedan,WA
Toyota,2015,HiAce,USED,Automatic,3.0,Rear,Diesel,8.0,142539,4,Commercial,NSW
Volvo,2012,XC90,USED,Automatic,2.4,AWD,Diesel,9.6,174208,5,SUV,NSW
Land,2014,Rover,USED,Automatic,4.4,AWD,Diesel,8.7,118684,8,SUV,WA
Isuzu,2017,D-MAX,USED,Automatic,3.0,Rear,Diesel,7.5,163370,4,Ute / Tray,NSW
Kia,2010,Sportage,USED,Automatic,2.0,AWD,Diesel,7.5,208173,4,SUV,NSW
Toyota,2017,HiAce,USED,Automatic,2.7,Rear,Unleaded,10.9,165455,4,People Mover,NSW
Holden,2008,Commodore,USED,Manual,6.0,Rear,Premium,14.6,187395,8,Sedan,NSW
Suzuki,2021,Baleno,USED,Automatic,1.4,Front,Unleaded,5.4,36620,4,Hatchback,NSW
Hyundai,2016,Elantra,USED,Automatic,2.0,Front,Unleaded,7.2,72823,4,Sedan,WA
Toyota,2011,Landcruiser,USED,Automatic,4.5,4WD,Diesel,10.3,237787,8,SUV,NSW
Suzuki,2009,Swift,USED,Manual,1.5,Front,Unleaded,6.3,168715,4,Hatchback,WA
Kia,2020,Cerato,USED,Automatic,2.0,Front,Unleaded,7.4,46072,4,Sedan,NSW
Audi,2021,Q5,USED,Automatic,2.0,AWD,Hybrid,8.0,69304,4,SUV,NSW
Ford,2016,Focus,USED,Automatic,1.5,Front,Unleaded,6.4,82338,4,Hatchback,NSW
Toyota,2019,C-HR,USED,Automatic,1.2,Front,Premium,6.4,59750,4,SUV,WA
Hyundai,2019,I30,USED,Automatic,2.0,Front,Unleaded,7.4,50666,4,Hatchback,NSW
Hyundai,2018,I30,USED,Automatic,1.6,Front,Diesel,4.7,18611,4,Hatchback,NSW
Jeep,2008,Wrangler,USED,Automatic,2.8,4WD,Diesel,9.9,222627,4,SUV,WA
Mercedes-Benz,2017,GLA45,USED,Automatic,2.0,AWD,Premium,7.5,40772,4,SUV,NSW
Kia,2020,Cerato,USED,Automatic,2.0,Front,Unleaded,7.4,44161,4,Hatchback,NSW
Ford,2013,Ranger,USED,Automatic,3.2,4WD,Diesel,9.6,231023,5,Ute / Tray,NSW
Peugeot,2012,RCZ,USED,Automatic,1.6,Front,Premium,7.3,146904,4,Coupe,NSW
Isuzu,2016,D-MAX,USED,Manual,3.0,Rear,Diesel,8.0,58920,4,Ute / Tray,NSW
Mercedes-Benz,2014,C200,USED,Automatic,2.0,Rear,Premium,6.0,49843,4,Sedan,NSW
Nissan,2005,Patrol,USED,Manual,3.0,4WD,Diesel,10.8,174386,4,SUV,WA
BMW,2016,X5,USED,Automatic,3.0,AWD,Diesel,6.2,101185,6,SUV,NSW
Mercedes-Benz,2022,CLA,USED,Automatic,2.0,AWD,Premium,6.7,21402,4,Sedan,WA
Hyundai,2016,Veloster,USED,Automatic,1.6,Front,Unleaded,7.1,80237,4,Hatchback,NSW
Ford,2017,Ranger,USED,Automatic,3.2,Rear,Diesel,8.5,95696,5,Ute / Tray,NSW
Nissan,2014,Navara,USED,Manual,2.5,4WD,Diesel,9.2,145731,4,Ute / Tray,NSW
Audi,2013,A3,USED,Automatic,2.0,Front,Premium,7.6,112475,4,Convertible,NSW
BMW,2020,M240I,USED,Automatic,3.0,Rear,Premium,7.4,28667,6,Coupe,NSW
Toyota,2018,Hilux,USED,Automatic,2.8,4WD,Diesel,8.5,86315,4,Ute / Tray,WA
Ford,2013,Territory,USED,Automatic,2.7,Rear,Diesel,8.2,206614,6,SUV,NSW
Ford,2023,Ranger,USED,Automatic,3.0,4WD,Premium,11.5,62,6,Ute / Tray,NSW
Ford,2016,Focus,USED,Automatic,1.5,Front,Unleaded,6.4,167037,4,Hatchback,NSW
Toyota,2015,Hilux,USED,Automatic,2.8,Rear,Diesel,8.1,217213,4,Ute / Tray,WA
Nissan,2018,Navara,USED,Automatic,2.3,4WD,Diesel,7.0,180498,4,Ute / Tray,NSW
Subaru,2015,Liberty,USED,Automatic,2.5,AWD,Premium,7.3,142114,4,Sedan,NSW
Mitsubishi,2015,Triton,USED,Manual,2.4,4WD,Diesel,7.2,202087,4,Ute / Tray,NSW
Toyota,2019,Hilux,USED,Automatic,2.8,4WD,Diesel,8.5,85732,4,Ute / Tray,WA
Toyota,2009,Kluger,USED,Automatic,3.5,4WD,Unleaded,11.0,212527,6,SUV,NSW
Mazda,2015,2,USED,Manual,1.5,Front,Unleaded,5.2,79188,4,Hatchback,NSW
MG,2021,HS,USED,Automatic,1.5,Front,Unleaded,7.3,31113,4,SUV,WA
Ford,2016,Ranger,USED,Automatic,3.2,4WD,Diesel,9.0,274408,5,Ute / Tray,NSW
Hyundai,2018,Iload,USED,Automatic,2.5,Rear,Diesel,8.8,119544,4,Commercial,NSW
Volkswagen,2012,Polo,USED,Automatic,1.2,Front,Premium,5.5,46451,4,Hatchback,NSW
Holden,2015,Cruze,USED,Automatic,1.8,Front,Unleaded,7.4,163197,4,Sedan,NSW
Mitsubishi,2020,Outlander,USED,Automatic,2.4,Front,Unleaded,7.2,92585,4,SUV,WA
Hyundai,2020,Santa,USED,Automatic,2.2,AWD,Diesel,6.1,86968,4,SUV,NSW
Hyundai,2021,Sonata,USED,Automatic,2.5,Front,Unleaded,8.1,9868,4,Sedan,NSW
Mitsubishi,2015,Triton,USED,Manual,2.4,4WD,Diesel,7.2,256679,4,Ute / Tray,NSW
Hyundai,2013,IX35,USED,Automatic,2.0,Front,Unleaded,8.5,140941,4,SUV,NSW
Mercedes-Benz,2010,ML350,USED,Automatic,3.5,4WD,Premium,11.7,156890,6,SUV,NSW
Toyota,2023,Corolla,USED,Automatic,1.8,Front,Hybrid,4.0,3001,4,Hatchback,NSW
Toyota,2017,Hilux,USED,Automatic,2.8,4WD,Diesel,8.5,106448,4,Ute / Tray,WA
Kia,2017,Picanto,USED,Automatic,1.2,Front,Unleaded,5.8,28204,4,Hatchback,NSW
Mercedes-Benz,2018,C300,USED,Automatic,2.0,Rear,Premium,6.7,25269,4,Wagon,NSW
Mitsubishi,2018,Triton,USED,Manual,2.4,4WD,Diesel,7.2,192200,4,Ute / Tray,NSW
Ford,2012,Territory,USED,Automatic,2.7,Rear,Diesel,8.2,171996,6,SUV,NSW
Volkswagen,2012,Passat,USED,Automatic,2.0,Front,Diesel,4.9,99754,4,Wagon,NSW
Nissan,2007,Navara,USED,Manual,2.5,4WD,Diesel,9.8,254246,4,Ute / Tray,NSW
Mitsubishi,2017,Triton,USED,Manual,2.4,4WD,Diesel,7.2,190494,4,Ute / Tray,NSW
Holden,2017,Barina,USED,Automatic,1.6,Front,Premium,6.6,103551,4,Hatchback,NSW
Hyundai,2017,Iload,USED,Manual,2.5,Rear,Diesel,7.6,185746,4,Commercial,NSW
Mercedes-Benz,2022,GLC,USED,Automatic,2.0,Rear,Premium,8.0,19989,4,SUV,WA
Great,2017,Wall,USED,Manual,2.0,4WD,Diesel,9.0,142333,4,Ute / Tray,NSW
Kia,2020,Cerato,USED,Automatic,2.0,Front,Unleaded,7.4,57101,4,Hatchback,NSW
Mitsubishi,2020,Eclipse,USED,Automatic,1.5,Front,Unleaded,7.3,39765,4,SUV,WA
Hyundai,2013,Santa,USED,Automatic,2.2,AWD,Diesel,7.3,100996,4,SUV,NSW
Mitsubishi,2006,380,USED,Automatic,3.8,Front,Unleaded,10.8,228024,6,Sedan,NSW
Toyota,2008,RAV4,USED,Automatic,3.5,4WD,Unleaded,10.5,215170,6,SUV,NSW
Holden,2011,Commodore,USED,Manual,3.6,Rear,Unleaded,10.2,197865,6,Sedan,NSW
Toyota,2020,Camry,USED,Automatic,2.5,Front,Unleaded,7.8,53105,4,Sedan,NSW
Ford,2018,Ranger,USED,Automatic,2.2,Rear,Diesel,7.5,157298,4,Ute / Tray,NSW
Nissan,2005,Patrol,USED,Automatic,3.0,4WD,Diesel,10.9,251488,4,SUV,WA
Ford,2015,Ecosport,USED,Manual,1.0,Front,Premium,5.7,165417,3,SUV,NSW
Land,2015,Rover,USED,Automatic,4.4,AWD,Diesel,8.7,187402,8,SUV,NSW
Audi,2018,RS4,USED,Automatic,2.9,AWD,Premium,8.9,35615,6,Wagon,NSW
Hyundai,2016,Veloster,USED,Automatic,1.6,Front,Unleaded,7.1,81162,4,Hatchback,NSW
Volkswagen,2017,Polo,USED,Automatic,1.2,Front,Premium,4.8,79037,4,Hatchback,WA
Kia,2017,Cerato,USED,Automatic,2.0,Front,Unleaded,7.3,84741,4,Sedan,NSW
Volkswagen,2022,Tiguan,USED,Automatic,2.0,AWD,Premium,7.7,11845,4,SUV,NSW
Toyota,2019,Corolla,USED,Automatic,1.8,Front,Hybrid,4.2,92445,4,Hatchback,WA
Toyota,2022,RAV4,USED,Automatic,2.5,AWD,Hybrid,4.8,10702,4,SUV,NSW
Subaru,2021,Outback,USED,Automatic,2.5,AWD,Unleaded,7.3,19071,4,SUV,WA
Mazda,2021,6,USED,Automatic,2.5,Front,Unleaded,7.6,40224,4,Sedan,NSW
Hyundai,2015,Santa,USED,Automatic,2.2,AWD,Diesel,7.3,186600,4,SUV,NSW
Audi,2022,A4,USED,Automatic,2.0,Front,Premium,6.1,9800,4,Sedan,NSW
Toyota,2019,Landcruiser,USED,Automatic,2.8,4WD,Diesel,8.0,102054,4,SUV,WA
MG,2023,ZS,NEW,Automatic,0.0,Front,Electric,0.0,15,0,SUV,NSW
Toyota,2012,Hilux,USED,Automatic,4.0,Rear,Unleaded,11.8,207212,6,Ute / Tray,NSW
Hyundai,2020,Iload,USED,Automatic,2.5,Rear,Diesel,8.8,259294,4,Commercial,NSW
Audi,2018,Q5,USED,Automatic,2.0,AWD,Diesel,5.5,70572,4,SUV,NSW
Audi,2016,A3,USED,Automatic,1.4,Front,Premium,4.7,101005,4,Sedan,NSW
Mercedes-Benz,2023,A250,USED,Automatic,2.0,AWD,Premium,6.8,2441,4,Hatchback,NSW
Nissan,2019,X-Trail,USED,Automatic,2.5,4WD,Unleaded,8.3,53221,4,SUV,WA
Mercedes-Benz,2015,C250,USED,Automatic,2.0,Rear,Premium,6.0,77728,4,Sedan,NSW
Nissan,2014,Navara,USED,Manual,2.5,4WD,Diesel,9.8,175237,4,Ute / Tray,NSW
Hyundai,2014,Imax,USED,Automatic,2.5,Rear,Diesel,9.0,150302,4,Wagon,NSW
Toyota,2013,Hilux,USED,Manual,2.7,Rear,Unleaded,11.0,143000,4,Ute / Tray,NSW
Holden,2018,Calais,USED,Automatic,3.6,AWD,Premium,9.1,25567,6,Wagon,NSW
Audi,2019,A3,USED,Automatic,2.0,AWD,Premium,6.1,47312,4,Sedan,NSW
Volkswagen,2016,Amarok,USED,Automatic,2.0,4WD,Diesel,8.3,83285,4,Ute / Tray,WA
Ford,2015,Ranger,USED,Manual,3.2,4WD,Diesel,8.3,239156,5,Ute / Tray,NSW
Audi,2016,A3,USED,Automatic,1.8,Front,Premium,5.6,45861,4,Sedan,NSW
LDV,2022,G10,USED,Automatic,2.0,Rear,Diesel,8.2,5153,4,Commercial,NSW
Mercedes-Benz,2020,GLE,USED,Automatic,3.0,AWD,Hybrid,9.1,28870,6,SUV,WA
Volkswagen,2022,Tiguan,DEMO,Automatic,2.0,AWD,Premium,8.8,1505,4,SUV,NSW
MG,2022,MG3,NEW,Automatic,1.5,Front,Premium,6.7,15,4,Hatchback,NSW
BMW,2020,M340I,USED,Automatic,3.0,AWD,Premium,7.7,37130,6,Sedan,WA
Nissan,2017,Qashqai,USED,Automatic,2.0,Front,Unleaded,6.9,109736,4,SUV,NSW
Audi,2022,SQ7,USED,Automatic,4.0,AWD,Premium,12.1,10280,8,SUV,NSW
Holden,2017,Astra,USED,Automatic,1.4,Front,Premium,5.8,43863,4,Hatchback,WA
MG,2022,MG3,NEW,Automatic,1.5,Front,Premium,6.7,15,4,Hatchback,NSW
Hyundai,2018,Sonata,USED,Automatic,2.4,Front,Unleaded,8.3,86028,4,Sedan,NSW
Mazda,2018,BT-50,USED,Automatic,3.2,4WD,Diesel,10.0,36941,5,Ute / Tray,NSW
Hyundai,2018,I30,USED,Automatic,2.0,Front,Unleaded,7.4,12804,4,Hatchback,NSW
Ram,2019,1500,USED,Automatic,5.7,4WD,Unleaded,12.2,46200,8,Commercial,NSW
Mazda,2005,MPV,USED,Automatic,3.0,Front,Unleaded,13.0,174025,6,Wagon,NSW
Suzuki,2010,Swift,USED,Automatic,1.5,Front,Unleaded,6.7,121530,4,Hatchback,WA
Holden,2012,Barina,USED,Automatic,1.6,Front,Unleaded,7.3,179000,4,Hatchback,NSW
Toyota,2018,Kluger,USED,Automatic,3.5,AWD,Unleaded,9.5,59872,6,SUV,NSW
Hyundai,2017,Iload,USED,Automatic,2.5,Rear,Diesel,8.8,207745,4,Commercial,NSW
Toyota,2008,RAV4,USED,Automatic,2.4,4WD,Unleaded,9.6,274436,4,SUV,NSW
Toyota,2021,Corolla,USED,Automatic,1.8,Front,Hybrid,4.2,8580,4,Hatchback,NSW
Mitsubishi,2016,Triton,USED,Automatic,2.4,4WD,Diesel,7.6,241000,4,Ute / Tray,NSW
Jeep,2012,Grand,USED,Automatic,3.6,AWD,Premium,11.0,140521,6,SUV,WA
Holden,2013,Captiva,USED,Automatic,3.0,AWD,Unleaded,10.1,152143,6,SUV,NSW
Ford,2018,Ranger,USED,Automatic,3.2,Rear,Diesel,8.2,152807,5,Ute / Tray,NSW
Audi,2009,Q5,USED,Automatic,3.0,AWD,Diesel,7.5,163535,6,SUV,NSW
Toyota,2016,HiAce,USED,Manual,3.0,Rear,Diesel,8.0,208001,4,Commercial,NSW
Mercedes-Benz,2008,C200,USED,Automatic,1.8,Rear,Premium,8.2,158457,4,Sedan,NSW
Toyota,2017,Hilux,USED,Automatic,2.8,4WD,Diesel,8.5,61227,4,Ute / Tray,NSW
Toyota,2010,Hiace,USED,Automatic,3.0,Rear,Diesel,8.0,147317,4,Commercial,NSW
Mercedes-Benz,2009,C200,USED,Automatic,1.8,Rear,Premium,8.2,138891,4,Sedan,NSW
Ford,2022,Ranger,USED,Automatic,2.0,4WD,Diesel,7.6,7051,4,Ute / Tray,WA
Toyota,2011,Corolla,USED,Automatic,1.8,Front,Unleaded,7.4,123372,4,Sedan,NSW
Ford,2016,Ranger,USED,Automatic,2.2,Rear,Diesel,7.5,276343,4,Ute / Tray,NSW
Holden,2014,Calais,USED,Automatic,3.6,Rear,Unleaded,9.5,84929,6,Sedan,NSW
Suzuki,2017,Vitara,USED,Automatic,1.4,Front,Unleaded,5.9,139961,4,SUV,NSW
Toyota,2015,Hiace,USED,Automatic,3.0,Rear,Diesel,8.0,169481,4,Commercial,NSW
BMW,2006,320I,USED,Automatic,2.0,Rear,Unleaded,11.0,140427,4,Sedan,NSW
Hyundai,2018,I30,USED,Automatic,2.0,Front,Unleaded,7.4,64160,4,Hatchback,NSW
Audi,2019,A3,USED,Automatic,2.0,Front,Premium,6.1,46595,4,Other,NSW
Ford,2021,Everest,USED,Automatic,3.2,4WD,Hybrid,7.0,20322,5,SUV,NSW
Isuzu,2017,D-MAX,USED,Automatic,3.0,Rear,Diesel,7.5,186951,4,Ute / Tray,NSW
Ford,2022,Ranger,USED,Automatic,2.0,4WD,Diesel,7.6,14646,4,Ute / Tray,NSW
Toyota,2015,Kluger,USED,Automatic,3.5,Front,Unleaded,10.2,108635,6,SUV,NSW
Subaru,2020,Forester,USED,Automatic,2.5,AWD,Unleaded,7.4,67008,4,SUV,NSW
Mitsubishi,2016,Triton,USED,Automatic,2.4,Rear,Diesel,7.5,227276,4,Ute / Tray,WA
Audi,2022,Q3,USED,Automatic,1.4,Front,Premium,7.2,20,4,SUV,NSW
Volkswagen,2013,Caddy,USED,Automatic,2.0,Front,Diesel,6.3,97851,4,Wagon,NSW
Holden,2017,Captiva,USED,Automatic,2.2,AWD,Diesel,8.1,77000,4,SUV,NSW
Hyundai,2017,I30,USED,Automatic,2.0,Front,Unleaded,7.4,68658,4,Hatchback,NSW
Ford,2020,Ranger,USED,Automatic,3.2,4WD,Diesel,8.7,109818,5,Ute / Tray,WA
Kia,2016,Carnival,USED,Automatic,2.2,Front,Diesel,7.7,81285,4,Wagon,NSW
Ford,2014,Focus,USED,Manual,2.0,Front,Unleaded,7.2,93506,4,Hatchback,NSW
Mazda,2008,6,USED,Automatic,2.5,Front,Premium,8.9,160558,4,Hatchback,NSW
Mazda,2016,CX-5,USED,Automatic,2.0,Front,Unleaded,6.4,53099,4,SUV,NSW
Holden,2017,Astra,USED,Automatic,1.6,Front,Premium,6.3,27324,4,Hatchback,NSW
Mazda,2011,CX-9,USED,Automatic,3.7,Front,Unleaded,11.0,260670,6,SUV,NSW
Hyundai,2018,I30,USED,Manual,2.0,Front,Premium,8.0,39008,4,Hatchback,NSW
Mercedes-Benz,2018,C300,USED,Automatic,2.0,Rear,Premium,7.0,9644,4,Sedan,NSW
Holden,2019,Colorado,USED,Automatic,2.8,4WD,Diesel,8.6,115623,4,Ute / Tray,WA
GWM,2022,Haval,NEW,Automatic,2.0,4WD,Unleaded,8.4,20,4,SUV,NSW
Suzuki,2008,Swift,USED,Automatic,1.5,Front,Unleaded,6.7,158012,4,Hatchback,NSW
Land,2019,Rover,USED,Automatic,2.0,AWD,Diesel,5.7,52675,4,SUV,NSW
Mazda,2018,CX-9,USED,Automatic,2.5,AWD,Unleaded,8.8,98374,4,SUV,NSW
MG,2022,ZST,USED,Automatic,1.5,Front,Unleaded,6.9,10677,4,SUV,NSW
Kia,2020,RIO,USED,Automatic,1.4,Front,Unleaded,6.2,44528,4,Hatchback,NSW
Holden,2012,Captiva,USED,Automatic,2.2,AWD,Diesel,8.1,167135,4,SUV,NSW
Mitsubishi,2020,ASX,USED,Automatic,2.0,Front,Unleaded,7.6,59931,4,SUV,WA
Peugeot,2018,3008,USED,Automatic,2.0,Front,Diesel,4.8,86490,4,SUV,NSW
Mitsubishi,2013,Lancer,USED,Automatic,2.0,Front,Unleaded,7.2,176119,4,Sedan,NSW
Toyota,2014,HiAce,USED,Automatic,2.7,Rear,Unleaded,11.6,232542,4,Commercial,NSW
Audi,2011,Q7,USED,Automatic,3.0,AWD,Diesel,7.8,157000,6,SUV,NSW
Holden,2010,Cruze,USED,Automatic,1.8,Front,Unleaded,7.5,183001,4,Sedan,NSW
Kia,2017,Sportage,USED,Automatic,2.0,AWD,Diesel,6.8,83220,4,SUV,NSW
Hyundai,2018,I30,USED,Automatic,2.0,Front,Unleaded,7.4,82117,4,Hatchback,WA
Hyundai,2018,I40,USED,Automatic,2.0,Front,Unleaded,7.5,89881,4,Wagon,NSW
Volkswagen,2018,Tiguan,USED,Automatic,2.0,Front,Premium,7.5,49152,4,SUV,NSW
Mercedes-Benz,2016,CLA250,USED,Automatic,2.0,AWD,Premium,6.7,104154,4,Sedan,NSW
Nissan,2017,Pathfinder,USED,Automatic,3.5,Front,Premium,9.9,133796,6,SUV,NSW
Toyota,2018,Corolla,USED,Automatic,1.8,Front,Unleaded,6.6,56092,4,Sedan,NSW
Nissan,2008,Pathfinder,USED,Automatic,4.0,4WD,Unleaded,13.5,247880,6,SUV,NSW
Renault,2013,Koleos,USED,Automatic,2.5,AWD,Premium,9.5,126552,4,SUV,NSW
Kia,2019,Stinger,USED,Automatic,3.3,Rear,Unleaded,10.2,71236,6,Sedan,NSW
Volkswagen,2014,Amarok,USED,Automatic,2.0,4WD,Diesel,8.3,175479,4,Ute / Tray,NSW
Porsche,2015,Macan,USED,Automatic,3.0,AWD,Premium,8.7,80208,6,SUV,NSW
Audi,2006,Q7,USED,Automatic,4.2,AWD,Premium,13.6,221294,8,SUV,NSW
Mazda,2019,CX-3,USED,Automatic,2.0,Front,Unleaded,6.3,38179,4,SUV,NSW
Mercedes-Benz,2014,ML63,USED,Automatic,5.5,AWD,Premium,11.8,130352,8,SUV,NSW
Toyota,2003,Camry,USED,Automatic,3.0,Front,Unleaded,10.5,172019,6,Sedan,NSW
Suzuki,2018,Vitara,USED,Automatic,1.4,Front,Unleaded,5.9,75785,4,SUV,NSW
Kia,2019,Cerato,USED,Automatic,2.0,Front,Unleaded,7.4,49242,4,Hatchback,NSW
MG,2021,HS,USED,Automatic,2.0,AWD,Unleaded,9.5,21513,4,SUV,NSW
Land,2016,Rover,USED,Automatic,2.0,AWD,Diesel,5.1,74733,4,SUV,NSW
Kia,2020,Cerato,USED,Automatic,2.0,Front,Unleaded,7.4,51816,4,Sedan,NSW
Holden,2013,Captiva,USED,Automatic,2.2,AWD,Diesel,8.1,155684,4,SUV,NSW
Mitsubishi,2023,Outlander,USED,Automatic,2.5,Front,Unleaded,7.7,3015,4,SUV,WA
Hyundai,2019,I30,USED,Automatic,2.0,Front,Unleaded,7.4,59571,4,Hatchback,NSW
Nissan,2014,Pulsar,USED,Automatic,1.8,Front,Unleaded,6.7,163073,4,Sedan,NSW
Holden,2016,Barina,USED,Automatic,1.4,Front,Premium,6.5,78932,4,Hatchback,NSW
BMW,2016,X5,USED,Automatic,2.0,AWD,Diesel,6.0,180013,4,SUV,NSW
Mazda,2017,CX-5,USED,Automatic,2.5,AWD,Unleaded,7.5,180454,4,SUV,NSW
Mazda,2016,6,USED,Automatic,2.2,Front,Diesel,5.4,96331,4,Sedan,NSW
Kia,2015,Cerato,USED,Automatic,1.8,Front,Unleaded,7.1,108105,4,Hatchback,NSW
BMW,2016,320I,USED,Automatic,2.0,Rear,Premium,5.8,134221,4,Sedan,NSW
Kia,2016,Carnival,USED,Automatic,2.2,Front,Diesel,7.7,67705,4,Wagon,NSW
Hyundai,2017,Accent,USED,Automatic,1.6,Front,Unleaded,6.6,83358,4,Hatchback,WA
Toyota,2013,Yaris,USED,Automatic,1.3,Front,Unleaded,6.3,187361,4,Hatchback,NSW
Isuzu,2016,D-MAX,USED,Automatic,3.0,Rear,Diesel,8.0,74850,4,Ute / Tray,NSW
Kia,2020,Cerato,USED,Automatic,2.0,Front,Unleaded,7.4,50585,4,Sedan,NSW
Nissan,2016,Navara,USED,Automatic,2.3,4WD,Diesel,7.0,70056,4,Ute / Tray,NSW
Dodge,2015,Journey,USED,Automatic,3.6,Front,Premium,10.4,135077,6,SUV,NSW
Hyundai,2019,Kona,USED,Automatic,2.0,Front,Unleaded,7.2,53749,4,SUV,NSW
Hyundai,2012,Santa,USED,Automatic,2.2,AWD,Diesel,7.3,192121,4,SUV,NSW
Audi,2022,Q5,USED,Automatic,2.0,AWD,Hybrid,5.4,4595,4,SUV,NSW
Mazda,2004,2,USED,Automatic,1.5,Front,Unleaded,7.6,176693,4,Hatchback,NSW
Holden,2007,Combo,USED,Manual,1.4,Front,Unleaded,6.3,75000,4,Commercial,WA
Audi,2021,RS,USED,Automatic,2.9,AWD,Premium,9.4,15156,6,Hatchback,NSW
Toyota,2015,HiAce,USED,Automatic,3.0,Rear,Diesel,8.0,169784,4,Commercial,NSW
Alfa,2015,Romeo,USED,Automatic,1.7,Front,Premium,7.0,98446,4,Hatchback,NSW
Holden,2012,Captiva,USED,Automatic,3.0,AWD,Unleaded,10.1,188886,6,SUV,NSW
Subaru,2017,BRZ,USED,Manual,2.0,Rear,Premium,7.8,96556,4,Coupe,NSW
Kia,2017,Cerato,USED,Automatic,2.0,Front,Unleaded,7.1,127234,4,Hatchback,NSW
Mitsubishi,2019,ASX,USED,Automatic,2.0,Front,Unleaded,7.6,102196,4,SUV,NSW
Volkswagen,2018,Polo,USED,Automatic,2.0,Front,Premium,6.1,74369,4,Hatchback,NSW
Toyota,2015,Hiace,USED,Automatic,3.0,Rear,Diesel,8.0,306421,4,Commercial,NSW
Holden,2007,Calais,USED,Automatic,6.0,Rear,Premium,14.6,238000,8,Sedan,NSW
Hyundai,2020,Kona,USED,Automatic,2.0,Front,Unleaded,7.2,59424,4,SUV,NSW
